date,npa_on_the_day,npa_day_before,npa_one_week_out,npa_two_weeks_out,npa_one_month_out,npa_two_months_out
2024-10-25,31.0,,,,,
2024-10-26,0.0,0.0,,,,
2024-11-01,,,42.0,,,
2024-11-08,0.0,41.0,,45.0,,
2024-11-22,3.0,31.0,36.0,40.0,46.0,
2024-12-20,25.0,37.0,37.0,38.0,38.0,42.0
2024-10-27,0.0,44.0,,,,
2024-11-02,,,35.0,,,
2024-11-09,0.0,0.0,,38.0,,
2024-11-23,0.0,10.0,25.0,32.0,45.0,
2024-12-21,20.0,33.0,,36.0,37.0,43.0
2024-10-28,43.0,44.0,,,,
2024-11-03,,,43.0,,,
2024-11-10,0.0,0.0,,44.0,,
2024-11-24,0.0,0.0,43.0,42.0,47.0,
2024-12-22,19.0,37.0,37.0,36.0,36.0,41.0
2024-10-29,44.0,45.0,,,,
2024-11-04,,,47.0,,,
2024-11-11,14.0,40.0,,44.0,,
2024-11-25,2.0,39.0,42.0,43.0,47.0,
2024-12-23,15.0,43.0,41.0,43.0,39.0,43.0
2024-10-30,40.0,45.0,,,,
2024-11-05,25.0,,45.0,,,
2024-11-12,8.0,38.0,44.0,44.0,,
2024-11-26,6.0,41.0,42.0,45.0,47.0,
2024-12-24,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-31,,45.0,,,,
2024-11-06,19.0,42.0,46.0,,,
2024-11-13,29.0,42.0,42.0,41.0,,
2024-11-27,38.0,43.0,43.0,44.0,47.0,
2024-12-25,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-19,16.0,41.0,46.0,47.0,,
2024-12-03,29.0,46.0,46.0,47.0,49.0,
2024-12-31,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-07,24.0,44.0,,,,
2024-11-20,18.0,42.0,47.0,48.0,,
2024-12-04,33.0,43.0,46.0,46.0,47.0,
2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-14,26.0,41.0,44.0,,,
2024-11-21,33.0,43.0,46.0,46.0,,
2024-12-05,28.0,46.0,45.0,46.0,47.0,
2025-01-02,0.0,0.0,36.0,38.0,44.0,44.0
2024-11-15,16.0,35.0,39.0,,,
2024-12-06,18.0,40.0,42.0,44.0,47.0,
2025-01-03,0.0,26.0,31.0,33.0,34.0,41.0
2024-11-16,3.0,29.0,32.0,,,
2024-12-07,0.0,17.0,31.0,39.0,42.0,
2025-01-04,0.0,0.0,39.0,39.0,39.0,44.0
2024-11-17,0.0,40.0,44.0,,,
2024-12-08,0.0,0.0,48.0,48.0,48.0,
2025-01-05,0.0,0.0,47.0,47.0,47.0,47.0
2024-11-18,8.0,39.0,43.0,,,
2024-12-09,6.0,43.0,45.0,45.0,46.0,
2025-01-06,1.0,43.0,46.0,46.0,45.0,49.0
2024-12-10,17.0,44.0,45.0,43.0,46.0,
2025-01-07,6.0,39.0,39.0,39.0,40.0,46.0
2024-12-11,17.0,44.0,45.0,44.0,47.0,
2025-01-08,9.0,41.0,39.0,39.0,42.0,48.0
2024-11-28,16.0,46.0,45.0,45.0,,
2024-12-12,21.0,43.0,44.0,44.0,46.0,
2025-01-09,12.0,34.0,39.0,41.0,42.0,49.0
2024-11-29,19.0,40.0,44.0,45.0,,
2024-12-13,23.0,42.0,47.0,48.0,47.0,
2025-01-10,8.0,28.0,38.0,39.0,40.0,45.0
2024-11-30,0.0,39.0,42.0,42.0,,
2024-12-14,,30.0,30.0,31.0,34.0,
2025-01-11,,30.0,39.0,43.0,,48.0
2024-12-01,28.0,38.0,46.0,46.0,,
2024-12-15,11.0,,47.0,47.0,46.0,
2025-01-12,0.0,,47.0,49.0,48.0,49.0
2024-12-02,11.0,46.0,46.0,46.0,,
2024-12-16,11.0,48.0,49.0,48.0,47.0,
2025-01-13,5.0,43.0,45.0,47.0,48.0,50.0
2024-12-17,19.0,48.0,49.0,49.0,49.0,
2025-01-14,9.0,45.0,46.0,47.0,46.0,50.0
2024-12-18,26.0,47.0,47.0,47.0,48.0,
2025-01-15,8.0,46.0,45.0,47.0,46.0,50.0
2024-12-19,24.0,45.0,45.0,46.0,47.0,
2025-01-16,,46.0,45.0,46.0,46.0,48.0
2025-01-17,13.0,,45.0,49.0,49.0,49.0
2025-01-18,11.0,34.0,,47.0,49.0,50.0
2025-01-19,4.0,36.0,47.0,49.0,50.0,50.0
2025-01-20,7.0,47.0,48.0,49.0,50.0,50.0
2025-01-21,17.0,48.0,48.0,49.0,50.0,50.0
2025-01-22,25.0,45.0,48.0,49.0,50.0,50.0
2024-12-26,0.0,0.0,0.0,0.0,0.0,
2025-01-23,30.0,48.0,,48.0,50.0,50.0
2024-12-27,0.0,2.0,6.0,6.0,10.0,
2025-01-24,23.0,42.0,42.0,44.0,46.0,48.0
2024-12-28,0.0,0.0,0.0,,6.0,
2025-01-25,0.0,20.0,25.0,,42.0,45.0
2024-12-29,0.0,0.0,10.0,10.0,17.0,
2025-01-26,0.0,0.0,35.0,39.0,45.0,47.0
2024-12-30,0.0,0.0,0.0,0.0,0.0,
2025-01-27,1.0,34.0,40.0,48.0,49.0,49.0
2025-01-28,1.0,44.0,47.0,48.0,50.0,50.0
2025-01-29,8.0,46.0,49.0,49.0,50.0,50.0
2025-01-30,20.0,45.0,48.0,,50.0,50.0
2025-01-31,0.0,0.0,42.0,43.0,45.0,48.0
2025-02-01,0.0,0.0,32.0,39.0,46.0,50.0
2025-02-02,0.0,0.0,45.0,46.0,47.0,50.0
2025-02-03,21.0,45.0,47.0,46.0,46.0,50.0
2025-02-04,17.0,47.0,49.0,49.0,49.0,50.0
2025-02-05,17.0,48.0,49.0,49.0,49.0,50.0
2025-02-06,21.0,46.0,48.0,48.0,49.0,50.0
2025-02-07,25.0,45.0,38.0,42.0,41.0,48.0
2025-02-09,28.0,42.0,42.0,44.0,41.0,48.0
2025-02-10,29.0,44.0,42.0,48.0,47.0,48.0
2025-02-11,34.0,46.0,46.0,49.0,47.0,49.0
2025-02-12,38.0,47.0,46.0,49.0,47.0,48.0
2025-02-13,40.0,46.0,44.0,47.0,,48.0
2025-02-14,29.0,38.0,40.0,40.0,44.0,48.0
2025-02-15,27.0,32.0,38.0,37.0,43.0,47.0
2025-02-16,23.0,37.0,44.0,45.0,45.0,46.0
2025-02-17,24.0,46.0,45.0,46.0,46.0,47.0
2025-02-18,30.0,47.0,46.0,45.0,47.0,48.0
2025-02-19,31.0,47.0,47.0,47.0,49.0,48.0
2025-02-20,34.0,49.0,49.0,48.0,50.0,49.0
2025-02-21,12.0,23.0,21.0,19.0,22.0,21.0
2025-02-22,2.0,14.0,15.0,17.0,24.0,23.0
2025-02-23,0.0,15.0,23.0,22.0,23.0,22.0
2025-02-24,4.0,25.0,23.0,22.0,23.0,22.0
2025-02-25,4.0,24.0,23.0,22.0,24.0,23.0
2025-02-26,9.0,24.0,27.0,24.0,24.0,23.0
2025-02-27,23.0,26.0,27.0,24.0,24.0,23.0
2025-02-28,12.0,40.0,40.0,43.0,44.0,46.0
2025-03-01,3.0,31.0,31.0,36.0,39.0,43.0
2025-03-02,0.0,10.0,43.0,45.0,46.0,47.0
2025-03-03,6.0,44.0,43.0,46.0,48.0,50.0
2025-03-04,9.0,43.0,45.0,47.0,47.0,50.0
