date,npa_on_the_day,npa_day_before,npa_one_week_out,npa_two_weeks_out,npa_one_month_out,npa_two_months_out
2024-10-25,7.0,,,,,
2024-10-26,0.0,3.0,,,,
2024-11-01,,,0.0,,,
2024-11-08,15.0,14.0,,0.0,,
2024-11-22,4.0,5.0,0.0,0.0,0.0,
2024-12-20,8.0,9.0,0.0,0.0,0.0,0.0
2024-10-27,13.0,13.0,,,,
2024-11-02,,,0.0,,,
2024-11-09,7.0,15.0,,0.0,,
2024-11-23,1.0,1.0,0.0,0.0,0.0,
2024-12-21,1.0,1.0,,0.0,0.0,0.0
2024-10-28,18.0,18.0,,,,
2024-11-03,,,25.0,,,
2024-11-10,16.0,15.0,,24.0,,
2024-11-24,14.0,15.0,17.0,21.0,25.0,
2024-12-22,5.0,4.0,8.0,20.0,0.0,0.0
2024-10-29,17.0,18.0,,,,
2024-11-04,,,20.0,,,
2024-11-11,18.0,19.0,,23.0,,
2024-11-25,18.0,18.0,21.0,23.0,28.0,
2024-12-23,6.0,6.0,8.0,15.0,0.0,0.0
2024-10-30,19.0,18.0,,,,
2024-11-05,17.0,,19.0,,,
2024-11-12,17.0,19.0,20.0,22.0,,
2024-11-26,20.0,21.0,23.0,25.0,29.0,
2024-12-24,0.0,0.0,0.0,2.0,0.0,0.0
2024-10-31,,20.0,,,,
2024-11-06,18.0,18.0,20.0,,,
2024-11-13,21.0,19.0,23.0,24.0,,
2024-11-27,22.0,23.0,24.0,26.0,28.0,
2024-12-25,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-19,20.0,20.0,21.0,24.0,,
2024-12-03,24.0,23.0,26.0,26.0,27.0,
2024-12-31,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-07,21.0,21.0,,,,
2024-11-20,17.0,18.0,20.0,24.0,,
2024-12-04,23.0,23.0,24.0,25.0,26.0,
2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-14,18.0,20.0,22.0,,,
2024-11-21,17.0,17.0,17.0,23.0,,
2024-12-05,21.0,21.0,20.0,21.0,23.0,
2025-01-02,2.0,6.0,18.0,0.0,0.0,0.0
2024-11-15,3.0,2.0,0.0,,,
2024-12-06,16.0,0.0,0.0,0.0,0.0,
2025-01-03,1.0,0.0,0.0,0.0,0.0,0.0
2024-11-16,1.0,2.0,0.0,,,
2024-12-07,15.0,18.0,0.0,0.0,0.0,
2025-01-04,0.0,3.0,0.0,0.0,0.0,0.0
2024-11-17,16.0,16.0,21.0,,,
2024-12-08,21.0,23.0,22.0,21.0,27.0,
2025-01-05,6.0,7.0,23.0,24.0,26.0,0.0
2024-11-18,22.0,23.0,25.0,,,
2024-12-09,18.0,23.0,20.0,21.0,26.0,
2025-01-06,6.0,7.0,24.0,25.0,28.0,0.0
2024-12-10,16.0,22.0,23.0,23.0,26.0,
2025-01-07,1.0,4.0,19.0,26.0,28.0,0.0
2024-12-11,20.0,21.0,25.0,25.0,28.0,
2025-01-08,1.0,2.0,19.0,24.0,24.0,0.0
2024-11-28,22.0,22.0,23.0,26.0,,
2024-12-12,18.0,20.0,23.0,23.0,25.0,
2025-01-09,9.0,9.0,15.0,20.0,23.0,0.0
2024-11-29,13.0,0.0,0.0,0.0,,
2024-12-13,3.0,0.0,0.0,0.0,0.0,
2025-01-10,9.0,10.0,0.0,0.0,0.0,0.0
2024-11-30,10.0,14.0,0.0,0.0,,
2024-12-14,,4.0,0.0,0.0,0.0,
2025-01-11,,4.0,0.0,0.0,,0.0
2024-12-01,27.0,27.0,27.0,28.0,,
2024-12-15,12.0,,12.0,15.0,18.0,
2025-01-12,8.0,,16.0,25.0,27.0,0.0
2024-12-02,24.0,25.0,25.0,25.0,,
2024-12-16,14.0,14.0,17.0,18.0,19.0,
2025-01-13,5.0,4.0,13.0,22.0,27.0,0.0
2024-12-17,15.0,14.0,15.0,17.0,21.0,
2025-01-14,6.0,7.0,12.0,21.0,28.0,0.0
2024-12-18,14.0,14.0,17.0,19.0,23.0,
2025-01-15,1.0,3.0,11.0,24.0,26.0,0.0
2024-12-19,15.0,15.0,19.0,25.0,26.0,
2025-01-16,,7.0,14.0,21.0,25.0,0.0
2025-01-17,14.0,,0.0,0.0,0.0,0.0
2025-01-18,9.0,17.0,,0.0,0.0,0.0
2025-01-19,11.0,12.0,21.0,25.0,29.0,0.0
2025-01-20,7.0,11.0,18.0,21.0,28.0,0.0
2025-01-21,3.0,7.0,19.0,21.0,27.0,0.0
2025-01-22,5.0,5.0,15.0,21.0,27.0,0.0
2024-12-26,1.0,1.0,1.0,1.0,0.0,
2025-01-23,13.0,13.0,,25.0,28.0,0.0
2024-12-27,3.0,3.0,6.0,0.0,0.0,
2025-01-24,8.0,9.0,6.0,6.0,0.0,0.0
2024-12-28,1.0,2.0,5.0,,0.0,
2025-01-25,0.0,0.0,0.0,,0.0,0.0
2024-12-29,5.0,7.0,8.0,4.0,0.0,
2025-01-26,1.0,2.0,2.0,0.0,15.0,0.0
2024-12-30,1.0,1.0,9.0,0.0,0.0,
2025-01-27,25.0,26.0,26.0,28.0,30.0,0.0
2025-01-28,25.0,24.0,25.0,30.0,31.0,0.0
2025-01-29,18.0,20.0,24.0,28.0,31.0,0.0
2025-01-30,18.0,19.0,23.0,,29.0,0.0
2025-01-31,19.0,17.0,0.0,0.0,0.0,0.0
2025-02-01,20.0,19.0,0.0,0.0,0.0,0.0
2025-02-02,18.0,19.0,18.0,22.0,28.0,31.0
2025-02-03,19.0,19.0,18.0,20.0,28.0,31.0
2025-02-04,13.0,16.0,13.0,16.0,26.0,31.0
2025-02-05,21.0,22.0,23.0,24.0,28.0,30.0
2025-02-06,19.0,18.0,17.0,22.0,25.0,28.0
2025-02-07,18.0,13.0,0.0,0.0,0.0,0.0
2025-02-09,28.0,28.0,26.0,28.0,28.0,31.0
2025-02-10,27.0,28.0,22.0,22.0,22.0,30.0
2025-02-11,24.0,24.0,19.0,19.0,20.0,29.0
2025-02-12,23.0,23.0,21.0,22.0,25.0,29.0
2025-02-13,22.0,23.0,23.0,23.0,,28.0
2025-02-14,10.0,0.0,0.0,0.0,0.0,0.0
2025-02-15,2.0,10.0,0.0,0.0,0.0,0.0
2025-02-16,14.0,15.0,19.0,19.0,21.0,29.0
2025-02-17,0.0,15.0,18.0,19.0,24.0,30.0
2025-02-18,17.0,18.0,22.0,21.0,25.0,30.0
2025-02-19,17.0,17.0,21.0,20.0,25.0,30.0
2025-02-20,19.0,20.0,22.0,21.0,25.0,30.0
2025-02-21,18.0,17.0,0.0,0.0,0.0,0.0
2025-02-22,14.0,15.0,0.0,0.0,0.0,0.0
2025-02-23,20.0,21.0,22.0,25.0,27.0,28.0
2025-02-24,21.0,22.0,22.0,24.0,25.0,28.0
2025-02-25,18.0,20.0,20.0,22.0,23.0,28.0
2025-02-26,20.0,20.0,23.0,25.0,23.0,28.0
2025-02-27,16.0,18.0,20.0,22.0,23.0,26.0
2025-02-28,14.0,17.0,0.0,0.0,0.0,0.0
2025-03-01,9.0,11.0,0.0,0.0,0.0,0.0
2025-03-02,7.0,10.0,12.0,15.0,17.0,23.0
