date,nba_on_the_day,nba_day_before,nba_one_week_out,nba_two_weeks_out,nba_one_month_out,nba_two_months_out
2024-10-25,5.0,,,,,
2024-10-26,21.0,23.0,,,,
2024-11-01,,,2.0,,,
2024-11-08,0.0,0.0,,8.0,,
2024-11-22,1.0,0.0,0.0,0.0,19.0,
2024-12-20,22.0,22.0,22.0,21.0,22.0,25.0
2024-10-27,18.0,15.0,,,,
2024-11-02,,,10.0,,,
2024-11-09,8.0,11.0,,11.0,,
2024-11-23,12.0,13.0,15.0,13.0,21.0,
2024-12-21,22.0,24.0,,22.0,23.0,25.0
2024-10-28,0.0,0.0,,,,
2024-11-03,,,0.0,,,
2024-11-10,0.0,0.0,,2.0,,
2024-11-24,0.0,0.0,0.0,1.0,22.0,
2024-12-22,16.0,14.0,14.0,18.0,21.0,25.0
2024-10-29,0.0,0.0,,,,
2024-11-04,,,3.0,,,
2024-11-11,3.0,3.0,,11.0,,
2024-11-25,3.0,3.0,4.0,9.0,20.0,
2024-12-23,13.0,16.0,23.0,23.0,25.0,27.0
2024-10-30,0.0,0.0,,,,
2024-11-05,0.0,,0.0,,,
2024-11-12,2.0,0.0,3.0,8.0,,
2024-11-26,0.0,0.0,0.0,1.0,5.0,
2024-12-24,1.0,7.0,16.0,19.0,20.0,23.0
2024-10-31,,1.0,,,,
2024-11-06,1.0,0.0,0.0,,,
2024-11-13,1.0,4.0,11.0,12.0,,
2024-11-27,0.0,0.0,0.0,0.0,0.0,
2024-12-25,16.0,16.0,15.0,17.0,21.0,25.0
2024-11-19,1.0,1.0,0.0,4.0,,
2024-12-03,0.0,1.0,0.0,0.0,2.0,
2024-12-31,12.0,17.0,20.0,20.0,22.0,0.0
2024-11-07,2.0,3.0,,,,
2024-11-20,2.0,3.0,5.0,11.0,,
2024-12-04,0.0,0.0,2.0,2.0,12.0,
2025-01-01,20.0,20.0,20.0,20.0,22.0,0.0
2024-11-14,0.0,0.0,4.0,,,
2024-11-21,1.0,2.0,0.0,3.0,,
2024-12-05,0.0,0.0,1.0,1.0,0.0,
2025-01-02,22.0,22.0,22.0,23.0,22.0,26.0
2024-11-15,0.0,0.0,1.0,,,
2024-12-06,0.0,0.0,0.0,0.0,9.0,
2025-01-03,9.0,15.0,20.0,21.0,22.0,22.0
2024-11-16,14.0,15.0,20.0,,,
2024-12-07,0.0,0.0,0.0,2.0,11.0,
2025-01-04,20.0,20.0,21.0,21.0,21.0,21.0
2024-11-17,1.0,1.0,7.0,,,
2024-12-08,1.0,0.0,0.0,0.0,3.0,
2025-01-05,12.0,17.0,21.0,21.0,20.0,23.0
2024-11-18,0.0,0.0,2.0,,,
2024-12-09,0.0,0.0,0.0,0.0,0.0,
2025-01-06,12.0,16.0,20.0,20.0,20.0,22.0
2024-12-10,1.0,1.0,0.0,0.0,5.0,
2025-01-07,21.0,21.0,20.0,20.0,20.0,22.0
2024-12-11,1.0,0.0,3.0,2.0,4.0,
2025-01-08,11.0,12.0,11.0,11.0,21.0,22.0
2024-11-28,1.0,0.0,0.0,0.0,,
2024-12-12,0.0,0.0,0.0,0.0,3.0,
2025-01-09,4.0,6.0,13.0,20.0,23.0,24.0
2024-11-29,0.0,0.0,1.0,0.0,,
2024-12-13,0.0,4.0,4.0,7.0,21.0,
2025-01-10,10.0,12.0,12.0,18.0,19.0,22.0
2024-11-30,11.0,13.0,13.0,13.0,,
2024-12-14,,5.0,16.0,21.0,21.0,
2025-01-11,,18.0,20.0,20.0,,24.0
2024-12-01,0.0,0.0,1.0,1.0,,
2024-12-15,0.0,,0.0,0.0,0.0,
2025-01-12,1.0,,13.0,17.0,15.0,26.0
2024-12-02,0.0,0.0,1.0,0.0,,
2024-12-16,2.0,4.0,9.0,10.0,19.0,
2025-01-13,1.0,5.0,20.0,20.0,23.0,24.0
2024-12-17,1.0,3.0,4.0,5.0,15.0,
2025-01-14,13.0,14.0,21.0,21.0,21.0,25.0
2024-12-18,2.0,2.0,4.0,3.0,14.0,
2025-01-15,16.0,16.0,20.0,27.0,27.0,27.0
2024-12-19,9.0,11.0,12.0,12.0,11.0,
2025-01-16,,3.0,12.0,20.0,23.0,23.0
2025-01-17,1.0,,10.0,13.0,17.0,21.0
2025-01-18,0.0,3.0,,21.0,21.0,21.0
2025-01-19,3.0,4.0,13.0,20.0,20.0,20.0
2025-01-20,10.0,10.0,13.0,19.0,22.0,22.0
2025-01-21,0.0,0.0,3.0,14.0,21.0,21.0
2025-01-22,0.0,0.0,0.0,1.0,15.0,20.0
2024-12-26,16.0,20.0,21.0,21.0,21.0,
2025-01-23,16.0,19.0,,20.0,25.0,27.0
2024-12-27,20.0,20.0,20.0,20.0,20.0,
2025-01-24,6.0,8.0,6.0,13.0,20.0,22.0
2024-12-28,20.0,20.0,20.0,,20.0,
2025-01-25,0.0,3.0,10.0,,21.0,20.0
2024-12-29,21.0,21.0,22.0,21.0,22.0,
2025-01-26,6.0,1.0,0.0,1.0,12.0,21.0
2024-12-30,22.0,22.0,24.0,24.0,27.0,
2025-01-27,3.0,1.0,5.0,6.0,11.0,20.0
