date,npa_on_the_day,npa_day_before,npa_one_week_out,npa_two_weeks_out,npa_one_month_out,npa_two_months_out
2024-10-25,1.0,,,,,
2024-10-26,0.0,1.0,,,,
2024-11-01,,,0.0,,,
2024-11-08,1.0,2.0,,0.0,,
2024-11-22,2.0,1.0,1.0,9.0,0.0,
2024-12-20,17.0,18.0,24.0,0.0,0.0,0.0
2024-10-27,24.0,26.0,,,,
2024-11-02,,,2.0,,,
2024-11-09,0.0,0.0,,0.0,,
2024-11-23,0.0,0.0,0.0,2.0,0.0,
2024-12-21,12.0,11.0,,0.0,0.0,0.0
2024-10-28,22.0,21.0,,,,
2024-11-03,,,25.0,,,
2024-11-10,21.0,22.0,,24.0,,
2024-11-24,24.0,25.0,21.0,23.0,25.0,
2024-12-22,17.0,15.0,16.0,15.0,18.0,29.0
2024-10-29,0.0,23.0,,,,
2024-11-04,,,20.0,,,
2024-11-11,29.0,29.0,,31.0,,
2024-11-25,32.0,33.0,28.0,28.0,29.0,
2024-12-23,17.0,16.0,15.0,17.0,22.0,22.0
2024-10-30,26.0,26.0,,,,
2024-11-05,0.0,,14.0,,,
2024-11-12,20.0,21.0,24.0,29.0,,
2024-11-26,26.0,28.0,23.0,24.0,28.0,
2024-12-24,4.0,2.0,2.0,3.0,8.0,0.0
2024-10-31,,30.0,,,,
2024-11-06,17.0,17.0,20.0,,,
2024-11-13,23.0,20.0,21.0,26.0,,
2024-11-27,45.0,31.0,31.0,24.0,26.0,
2024-12-25,0.0,0.0,0.0,1.0,1.0,0.0
2024-11-19,12.0,14.0,17.0,18.0,,
2024-12-03,37.0,38.0,38.0,37.0,40.0,
2024-12-31,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-07,10.0,12.0,,,,
2024-11-20,13.0,13.0,20.0,19.0,,
2024-12-04,40.0,41.0,43.0,43.0,44.0,
2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-14,16.0,15.0,15.0,,,
2024-11-21,21.0,21.0,24.0,24.0,,
2024-12-05,36.0,36.0,36.0,37.0,41.0,
2025-01-02,13.0,11.0,15.0,0.0,0.0,0.0
2024-11-15,7.0,6.0,7.0,,,
2024-12-06,0.0,0.0,0.0,0.0,0.0,
2025-01-03,4.0,4.0,10.0,0.0,0.0,0.0
2024-11-16,0.0,0.0,5.0,,,
2024-12-07,0.0,0.0,0.0,0.0,0.0,
2025-01-04,12.0,17.0,25.0,0.0,0.0,0.0
2024-11-17,33.0,33.0,32.0,,,
2024-12-08,24.0,25.0,29.0,30.0,32.0,
2025-01-05,34.0,34.0,40.0,39.0,0.0,0.0
2024-11-18,12.0,11.0,13.0,,,
2024-12-09,30.0,29.0,37.0,39.0,39.0,
2025-01-06,35.0,35.0,36.0,37.0,0.0,0.0
2024-12-10,33.0,32.0,38.0,40.0,39.0,
2025-01-07,33.0,34.0,35.0,38.0,0.0,0.0
2024-12-11,34.0,36.0,39.0,42.0,39.0,
2025-01-08,33.0,36.0,38.0,41.0,0.0,0.0
2024-11-28,39.0,40.0,25.0,17.0,,
2024-12-12,26.0,28.0,36.0,38.0,38.0,
2025-01-09,35.0,35.0,42.0,45.0,0.0,0.0
2024-11-29,25.0,30.0,34.0,0.0,,
2024-12-13,9.0,9.0,0.0,0.0,0.0,
2025-01-10,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-30,0.0,6.0,8.0,14.0,,
2024-12-14,,0.0,0.0,0.0,0.0,
2025-01-11,,0.0,0.0,0.0,,0.0
2024-12-01,35.0,35.0,38.0,38.0,,
2024-12-15,14.0,,22.0,24.0,29.0,
2025-01-12,32.0,,39.0,41.0,43.0,0.0
2024-12-02,40.0,41.0,38.0,38.0,,
2024-12-16,21.0,24.0,30.0,32.0,34.0,
2025-01-13,36.0,37.0,43.0,44.0,45.0,0.0
2024-12-17,22.0,23.0,27.0,30.0,31.0,
2025-01-14,35.0,37.0,41.0,43.0,45.0,0.0
2024-12-18,31.0,31.0,31.0,36.0,36.0,
2025-01-15,28.0,29.0,29.0,35.0,38.0,0.0
2024-12-19,21.0,22.0,26.0,27.0,30.0,
2025-01-16,,33.0,32.0,35.0,35.0,0.0
2025-01-17,31.0,,0.0,0.0,0.0,0.0
2025-01-18,21.0,21.0,,0.0,0.0,0.0
2025-01-19,31.0,33.0,36.0,38.0,41.0,43.0
2025-01-20,31.0,34.0,37.0,40.0,40.0,44.0
2025-01-21,32.0,32.0,36.0,42.0,39.0,45.0
2025-01-22,32.0,34.0,37.0,39.0,40.0,43.0
2024-12-26,0.0,0.0,1.0,1.0,0.0,
2025-01-23,34.0,35.0,,35.0,39.0,40.0
