date,nba_on_the_day,nba_day_before,nba_one_week_out,nba_two_weeks_out,nba_one_month_out,nba_two_months_out
2024-10-29,7.0,,,,,
2024-10-30,9.0,9.0,,,,
2024-11-05,2.0,,22.0,,,
2024-11-12,10.0,12.0,18.0,26.0,,
2024-11-26,2.0,4.0,11.0,14.0,18.0,
2024-12-24,34.0,31.0,28.0,30.0,33.0,36.0
2024-10-31,,5.0,,,,
2024-11-06,8.0,9.0,11.0,,,
2024-11-13,14.0,10.0,18.0,25.0,,
2024-11-27,2.0,5.0,5.0,9.0,11.0,
2024-12-25,25.0,26.0,27.0,30.0,34.0,37.0
2024-11-19,2.0,2.0,9.0,19.0,,
2024-12-03,4.0,2.0,7.0,14.0,27.0,
2024-12-31,22.0,22.0,21.0,22.0,30.0,36.0
2024-11-07,6.0,11.0,,,,
2024-11-20,2.0,2.0,7.0,15.0,,
2024-12-04,0.0,9.0,11.0,15.0,18.0,
2025-01-01,20.0,29.0,32.0,32.0,0.0,41.0
2024-11-08,2.0,6.0,,,,
2024-11-14,4.0,7.0,14.0,,,
2024-11-21,0.0,0.0,4.0,6.0,,
2024-12-05,0.0,0.0,13.0,14.0,16.0,
2025-01-02,27.0,29.0,38.0,39.0,0.0,44.0
2024-11-09,2.0,2.0,,,,
2024-11-15,12.0,14.0,17.0,,,
2024-11-22,7.0,7.0,16.0,22.0,,
2024-12-06,0.0,0.0,6.0,9.0,17.0,
2025-01-03,26.0,26.0,35.0,39.0,0.0,46.0
2024-11-10,3.0,6.0,,,,
2024-11-16,10.0,12.0,12.0,,,
2024-11-23,1.0,1.0,4.0,8.0,,
2024-12-07,4.0,0.0,8.0,14.0,31.0,
2025-01-04,24.0,25.0,32.0,34.0,39.0,43.0
2024-11-11,17.0,20.0,,,,
2024-11-17,12.0,14.0,25.0,,,
2024-11-24,2.0,4.0,10.0,12.0,,
2024-12-08,12.0,15.0,19.0,22.0,37.0,
2025-01-05,14.0,20.0,32.0,33.0,37.0,39.0
2024-11-18,3.0,4.0,16.0,,,
2024-11-25,9.0,9.0,19.0,20.0,,
2024-12-09,0.0,0.0,0.0,2.0,6.0,
2025-01-06,9.0,12.0,21.0,25.0,30.0,40.0
2024-12-10,0.0,1.0,2.0,3.0,5.0,
2025-01-07,17.0,17.0,29.0,29.0,39.0,44.0
2024-12-11,0.0,1.0,0.0,9.0,19.0,
2025-01-08,13.0,14.0,24.0,23.0,34.0,44.0
2024-11-28,3.0,3.0,1.0,8.0,,
2024-12-12,3.0,4.0,0.0,11.0,22.0,
2025-01-09,19.0,22.0,34.0,35.0,41.0,45.0
2024-11-29,2.0,1.0,7.0,11.0,,
2024-12-13,5.0,8.0,0.0,18.0,21.0,
2025-01-10,20.0,22.0,30.0,40.0,45.0,46.0
2024-11-30,1.0,0.0,3.0,5.0,,
2024-12-14,,6.0,12.0,13.0,18.0,
2025-01-11,,13.0,26.0,37.0,,47.0
2024-12-01,4.0,4.0,2.0,5.0,,
2024-12-15,5.0,,9.0,12.0,17.0,
2025-01-12,27.0,,35.0,46.0,46.0,47.0
2024-12-02,5.0,5.0,8.0,14.0,,
2024-12-16,16.0,18.0,20.0,24.0,32.0,
2025-01-13,25.0,30.0,32.0,41.0,41.0,45.0
2024-12-17,3.0,4.0,8.0,11.0,25.0,
2025-01-14,19.0,24.0,26.0,34.0,39.0,44.0
2024-12-18,14.0,14.0,23.0,0.0,32.0,
2025-01-15,16.0,20.0,31.0,32.0,38.0,44.0
2024-12-19,30.0,32.0,40.0,0.0,42.0,
2025-01-16,,23.0,35.0,35.0,39.0,45.0
2024-12-20,30.0,31.0,37.0,0.0,42.0,
2025-01-17,22.0,,33.0,38.0,40.0,44.0
2024-12-21,33.0,33.0,,37.0,40.0,
2025-01-18,14.0,30.0,,42.0,42.0,43.0
2024-12-22,28.0,28.0,30.0,34.0,33.0,
2025-01-19,17.0,21.0,34.0,41.0,41.0,44.0
2024-12-23,31.0,32.0,34.0,36.0,39.0,
2025-01-20,15.0,17.0,32.0,38.0,39.0,43.0
2025-01-21,10.0,11.0,19.0,28.0,31.0,38.0
2025-01-22,5.0,4.0,7.0,18.0,20.0,35.0
2024-12-26,29.0,30.0,32.0,32.0,43.0,
2025-01-23,12.0,13.0,,26.0,27.0,40.0
2024-12-27,21.0,22.0,28.0,27.0,35.0,
2025-01-24,5.0,14.0,23.0,28.0,33.0,36.0
2024-12-28,33.0,35.0,39.0,,39.0,
2025-01-25,0.0,0.0,6.0,,20.0,26.0
2024-12-29,37.0,38.0,40.0,40.0,42.0,
2025-01-26,0.0,0.0,2.0,5.0,14.0,24.0
2024-12-30,34.0,34.0,39.0,38.0,39.0,
2025-01-27,11.0,11.0,14.0,15.0,24.0,36.0
2025-01-28,1.0,1.0,2.0,3.0,22.0,37.0
2025-01-29,2.0,3.0,4.0,6.0,20.0,0.0
2025-01-30,10.0,6.0,6.0,,15.0,0.0
2025-01-31,10.0,8.0,1.0,3.0,12.0,0.0
2025-02-01,27.0,20.0,4.0,6.0,10.0,18.0
2025-02-02,37.0,29.0,4.0,5.0,11.0,20.0
